0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+0)
Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -1.56000000000000e+02	| -1.56000000000000e+02	| 
1 		| -1.56663345640284e+02	| -1.56663345640284e+02	| 
2 		| -1.56664662808782e+02	| -1.56664652647165e+02	| 
3 		| -1.56664662815086e+02	| -1.56664662733203e+02	| 
4 		| -1.56664662815086e+02	| -1.56664662814424e+02	| 
5 		| 			| -1.56664662815086e+02	| 
6 		| 			| -1.56664662815086e+02	| 
Tempo total 	| 6.71650390625000e+01	| 5.09650878906250e+01	| 6.71650390625000e+01
Tempo derivadas | 3.04860839843750e+01	| 2.33281250000000e+01	| 6.71650390625000e+01
Tempo SL 	| 3.71997070312500e+00	| 2.32324218750000e+00	| 6.71650390625000e+01
