STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903823711 GHz,
TABLE,Region NewtonPadrao_128,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.056042,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,109532000
CPU_CLK_UNHALTED_CORE,FIXC1,45259820
CPU_CLK_UNHALTED_REF,FIXC2,46926580
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,421413
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,2236734
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,17527320
TABLE,Region NewtonPadrao_128,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0560,
Runtime unhalted [s],0.0156,
Clock [MHz],2800.6844,
CPI,0.4132,
DP [MFLOP/s],1305.9571,
AVX DP [MFLOP/s],1251.0065,
Packed [MUOPS/s],320.2712,
Scalar [MUOPS/s],39.9115,
Vectorization ratio,88.9191,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903823711 GHz,
TABLE,Region NewtonPadrao_Gradiente_128,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000027,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,421449
CPU_CLK_UNHALTED_CORE,FIXC1,481213
CPU_CLK_UNHALTED_REF,FIXC2,510136
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,71757
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region NewtonPadrao_Gradiente_128,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],2.742798e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2739.1866,
CPI,1.1418,
DP [MFLOP/s],2616.1970,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],2616.1970,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903823711 GHz,
TABLE,Region NewtonPadrao_Hessiana_128,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.002660,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,24496850
CPU_CLK_UNHALTED_CORE,FIXC1,7611969
CPU_CLK_UNHALTED_REF,FIXC2,8031738
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,45862
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region NewtonPadrao_Hessiana_128,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0027,
Runtime unhalted [s],0.0026,
Clock [MHz],2752.0589,
CPI,0.3107,
DP [MFLOP/s],17.2393,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],17.2393,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903823711 GHz,
TABLE,Region NewtonPadrao_SL_128,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.012859,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,83955080
CPU_CLK_UNHALTED_CORE,FIXC1,36057180
CPU_CLK_UNHALTED_REF,FIXC2,37207140
