STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892644371 GHz,
TABLE,Region NewtonPadrao_1000,Group 1 Raw,L3,6
Region Info,HWThread 3,
RDTSC Runtime [s],3.337957,
call count,1,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,13781770000
MAX_CPU_CLOCK,FIXC2,12992160000
RETIRED_INSTRUCTIONS,PMC0,32782680000
CPU_CLOCKS_UNHALTED,PMC1,13687270000
L3_ACCESS,CPMC0,2890728000
L3_MISS,CPMC1,63799990
TABLE,Region NewtonPadrao_1000,Group 1 Metric,L3,9
Metric,HWThread 3,
Runtime (RDTSC) [s],3.3380,
Runtime unhalted [s],3.5405,
Clock [MHz],4129.2233,
CPI,0.4175,
L3 access bandwidth [MBytes/s],55425.0974,
L3 access data volume [GBytes],185.0066,
L3 access rate [%],8.8179,
L3 miss rate [%],0.1946,
L3 miss ratio [%],2.2071,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892644371 GHz,
TABLE,Region NewtonPadrao_Gradiente_1000,Group 1 Raw,L3,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000128,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,10533660
MAX_CPU_CLOCK,FIXC2,9877842
RETIRED_INSTRUCTIONS,PMC0,2081301
CPU_CLOCKS_UNHALTED,PMC1,1447170
L3_ACCESS,CPMC0,112489
L3_MISS,CPMC1,24111
TABLE,Region NewtonPadrao_Gradiente_1000,Group 1 Metric,L3,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0027,
Clock [MHz],4151.0881,
CPI,0.6953,
L3 access bandwidth [MBytes/s],56363.1709,
L3 access data volume [GBytes],0.0072,
L3 access rate [%],5.4047,
L3 miss rate [%],1.1585,
L3 miss ratio [%],21.4341,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892644371 GHz,
TABLE,Region NewtonPadrao_Hessiana_1000,Group 1 Raw,L3,6
