STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892645545 GHz,
TABLE,Region NewtonPadrao_1000,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],3.397028,
call count,1,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,14011040000
MAX_CPU_CLOCK,FIXC2,13222820000
RETIRED_INSTRUCTIONS,PMC0,33418230000
CPU_CLOCKS_UNHALTED,PMC1,13910880000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,34077820000
MERGE,PMC3,0
TABLE,Region NewtonPadrao_1000,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 3,
Runtime (RDTSC) [s],3.3970,
Runtime unhalted [s],3.5994,
Clock [MHz],4124.6884,
CPI,0.4163,
DP [MFLOP/s],10031.6571,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892645545 GHz,
TABLE,Region NewtonPadrao_Gradiente_1000,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000096,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,10617130
MAX_CPU_CLOCK,FIXC2,10010210
RETIRED_INSTRUCTIONS,PMC0,2030197
CPU_CLOCKS_UNHALTED,PMC1,1386853
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,560949
MERGE,PMC3,0
TABLE,Region NewtonPadrao_Gradiente_1000,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0027,
Clock [MHz],4128.6570,
CPI,0.6831,
DP [MFLOP/s],5851.1049,
STRUCT,Info,3
CPU name:,AMD Ryzen 7 3800X 8-Core Processor             ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,3.892645545 GHz,
TABLE,Region NewtonPadrao_Hessiana_1000,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.127959,
call count,51,
Event,Counter,HWThread 3
ACTUAL_CPU_CLOCK,FIXC1,540641200
MAX_CPU_CLOCK,FIXC2,510360500
