STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonPadrao_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.049842,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,121773900
CPU_CLK_UNHALTED_CORE,FIXC1,44742350
CPU_CLK_UNHALTED_REF,FIXC2,44999780
L2_LINES_IN_ALL,PMC0,354530
L2_TRANS_L2_WB,PMC1,85771
TABLE,Region NewtonPadrao_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0498,
Runtime unhalted [s],0.0154,
Clock [MHz],2887.1440,
CPI,0.3674,
L3 load bandwidth [MBytes/s],455.2331,
L3 load data volume [GBytes],0.0227,
L3 evict bandwidth [MBytes/s],110.1340,
L3 evict data volume [GBytes],0.0055,
L3 bandwidth [MBytes/s],565.3671,
L3 data volume [GBytes],0.0282,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonPadrao_Gradiente_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.000027,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,446862
CPU_CLK_UNHALTED_CORE,FIXC1,515900
CPU_CLK_UNHALTED_REF,FIXC2,519574
L2_LINES_IN_ALL,PMC0,18254
L2_TRANS_L2_WB,PMC1,3049
TABLE,Region NewtonPadrao_Gradiente_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],2.719597e-05,
Runtime unhalted [s],0.0002,
Clock [MHz],2883.2226,
CPI,1.1545,
L3 load bandwidth [MBytes/s],42956.9528,
L3 load data volume [GBytes],0.0012,
L3 evict bandwidth [MBytes/s],7175.1807,
L3 evict data volume [GBytes],0.0002,
L3 bandwidth [MBytes/s],50132.1335,
L3 data volume [GBytes],0.0014,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonPadrao_Hessiana_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.002255,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,24498120
CPU_CLK_UNHALTED_CORE,FIXC1,6928794
CPU_CLK_UNHALTED_REF,FIXC2,7017879
L2_LINES_IN_ALL,PMC0,123593
L2_TRANS_L2_WB,PMC1,27096
TABLE,Region NewtonPadrao_Hessiana_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0023,
Runtime unhalted [s],0.0024,
Clock [MHz],2866.8952,
CPI,0.2828,
L3 load bandwidth [MBytes/s],3507.6521,
L3 load data volume [GBytes],0.0079,
L3 evict bandwidth [MBytes/s],769.0026,
L3 evict data volume [GBytes],0.0017,
L3 bandwidth [MBytes/s],4276.6548,
L3 data volume [GBytes],0.0096,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.903755536 GHz,
TABLE,Region NewtonPadrao_SL_128,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.013298,
call count,51,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,96146630
CPU_CLK_UNHALTED_CORE,FIXC1,36069690
CPU_CLK_UNHALTED_REF,FIXC2,36146210
L2_LINES_IN_ALL,PMC0,164647
L2_TRANS_L2_WB,PMC1,45029
TABLE,Region NewtonPadrao_SL_128,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0133,
Runtime unhalted [s],0.0124,
Clock [MHz],2897.6084,
CPI,0.3752,
