1000
#Iteração 	| Newton Padrão 	| Newton Inexato
0 		| 1.02906990000001e+01	| 1.02906990000001e+01	 
1 		| 8.23960310086177e-03	| 8.19845157377696e-03	 
2 		| 1.01339467643899e-06	| 6.95570350037779e-05	 
3 		| 1.43382120141527e-12	| 5.43435204858204e-05	 
4 		| 1.23429711344518e-22	| 4.24471224097556e-05	 
5 		| 3.11156323303113e-28	| 3.31449259015402e-05	 
6 		| 5.39815052252410e-28	| 2.58743348637424e-05	 
7 		| 7.76584257383510e-28	| 2.01937994460961e-05	 
8 		| 3.17208365560355e-28	| 1.57570694354241e-05	 
9 		| 2.88427268471432e-29	| 1.22928321662908e-05	 
10 		| 7.14646350372016e-28	| 9.58863717589117e-06	 
11 		| 9.01791274184057e-28	| 7.47822494527537e-06	 
12 		| 1.99187378568305e-29	| 5.83155264309740e-06	 
13 		| 5.95614635345152e-28	| 4.54695237675702e-06	 
14 		| 1.21662073107711e-27	| 3.54497263328139e-06	 
15 		| 1.60286675179594e-28	| 2.76354620217668e-06	 
16 		| 3.26760978084516e-29	| 2.15420204048863e-06	 
17 		| 4.09714632649163e-29	| 1.67909773258572e-06	 
18 		| 1.01898642241595e-28	| 1.30869629933137e-06	 
19 		| 1.08197203531719e-27	| 1.01994849223669e-06	 
20 		| 1.63318859284038e-29	| 7.94871309581028e-07	 
21 		| 5.17689969051289e-30	| 6.19436863789736e-07	 
22 		| 5.17689969051289e-30	| 4.82704184618748e-07	 
23 		| 5.17689969051289e-30	| 3.76141079680993e-07	 
24 		| 5.17689969051289e-30	| 2.93094609771799e-07	 
25 		| 5.17689969051289e-30	| 2.28377722326722e-07	 
26 		| 5.17689969051289e-30	| 1.77946639523798e-07	 
27 		| 5.17689969051289e-30	| 1.38649129170129e-07	 
28 		| 5.17689969051289e-30	| 1.08028121028131e-07	 
29 		| 5.17689969051289e-30	| 8.41685255013008e-08	 
30 		| 5.17689969051289e-30	| 6.55777680176289e-08	 
31 		| 5.17689969051289e-30	| 5.10926301429407e-08	 
32 		| 5.17689969051289e-30	| 3.98066128274332e-08	 
33 		| 5.17689969051289e-30	| 3.10133065998882e-08	 
34 		| 5.17689969051289e-30	| 2.41622451491602e-08	 
35 		| 5.17689969051289e-30	| 1.88244931687667e-08	 
36 		| 5.17689969051289e-30	| 1.46658239047638e-08	 
37 		| 5.17689969051289e-30	| 1.14258137498982e-08	 
38 		| 5.17689969051289e-30	| 8.90154944266869e-09	 
39 		| 5.17689969051289e-30	| 6.93493075379729e-09	 
40 		| 5.17689969051289e-30	| 5.40277560729516e-09	 
41 		| 5.17689969051289e-30	| 4.20910940732145e-09	 
42 		| 5.17689969051289e-30	| 3.27915661365331e-09	 
43 		| 5.17689969051289e-30	| 2.55465890452117e-09	 
44 		| 5.17689969051289e-30	| 1.99022712465579e-09	 
45 		| 5.17689969051289e-30	| 1.55049881608647e-09	 
46 		| 5.17689969051289e-30	| 1.20792348212622e-09	 
47 		| 5.17689969051289e-30	| 9.41036982832980e-10	 
48 		| 5.17689969051289e-30	| 7.33117059662383e-10	 
49 		| 5.17689969051289e-30	| 5.71135823003828e-10	 
50 		| 5.17689969051289e-30	| 4.44943619025354e-10	 
Tempo total 	| 3.33795605468750e+03	| 6.49904052734375e+02
Tempo derivadas | 0.00000000000000e+00	| 0.00000000000000e+00
Tempo SL 	| 3.21160400390625e+03	| 5.08841796875000e+02
#

