STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.027637,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,2081363
CPU_CLOCKS_UNHALTED,PMC1,10076540
RETIRED_UOPS,PMC2,2945020
RETIRED_FLOPS_DOUBLE_ALL,PMC3,56979
TABLE,Region NewtonPadrao_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0276,
Runtime unhalted [s],0.0029,
DP [MFLOP/s],2.0617,
CPI,4.8413,
CPI (based on uops),3.4216,
IPC,0.2066,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Gradiente_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000015,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,295756
CPU_CLOCKS_UNHALTED,PMC1,1620616
RETIRED_UOPS,PMC2,440161
RETIRED_FLOPS_DOUBLE_ALL,PMC3,5457
TABLE,Region NewtonPadrao_Gradiente_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],1.483498e-05,
Runtime unhalted [s],0.0005,
DP [MFLOP/s],367.8468,
CPI,5.4796,
CPI (based on uops),3.6819,
IPC,0.1825,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Hessiana_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000050,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,426644
CPU_CLOCKS_UNHALTED,PMC1,1779258
RETIRED_UOPS,PMC2,575555
RETIRED_FLOPS_DOUBLE_ALL,PMC3,3621
TABLE,Region NewtonPadrao_Hessiana_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],4.975743e-05,
Runtime unhalted [s],0.0005,
DP [MFLOP/s],72.7731,
CPI,4.1704,
CPI (based on uops),3.0914,
IPC,0.2398,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_SL_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000081,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,531227
CPU_CLOCKS_UNHALTED,PMC1,1851982
RETIRED_UOPS,PMC2,682391
RETIRED_FLOPS_DOUBLE_ALL,PMC3,41463
TABLE,Region NewtonPadrao_SL_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0005,
DP [MFLOP/s],513.2240,
CPI,3.4862,
CPI (based on uops),2.7140,
IPC,0.2868,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.023169,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,3598844
CPU_CLOCKS_UNHALTED,PMC1,10003350
RETIRED_UOPS,PMC2,4509402
RETIRED_FLOPS_DOUBLE_ALL,PMC3,339774
TABLE,Region NewtonInexato_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0232,
Runtime unhalted [s],0.0029,
DP [MFLOP/s],14.6649,
CPI,2.7796,
CPI (based on uops),2.2183,
IPC,0.3598,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Gradiente_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000012,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,295348
CPU_CLOCKS_UNHALTED,PMC1,1434671
RETIRED_UOPS,PMC2,439527
RETIRED_FLOPS_DOUBLE_ALL,PMC3,5457
TABLE,Region NewtonInexato_Gradiente_10,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],1.243714e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],438.7665,
CPI,4.8576,
CPI (based on uops),3.2641,
IPC,0.2059,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Hessiana_10,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000042,
call count,51,
